Address,Latitude,Longitude,Property Type,Bedrooms,Bathrooms,Parking Spaces,Price,Auction Date,Description,Agent Name,Agent Phone,Image URL
"PR64+HH Garvoc VIC, Australia",-38.28854138788518,142.80645937610228,Unit,1,1,2,"$1,399,249",Sun 03 Nov 02:53 AM,A beautiful property located in the heart of VIC.,Agent 759,+61 454 979 309,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.28854138788518,142.80645937610228&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"6Q2C+RP Apollo Bay VIC, Australia",-38.79792412891876,143.771816954565,Unit,2,3,3,"$1,600,051",Sun 03 Nov 02:53 AM,A beautiful property located in the heart of VIC.,Agent 656,+61 479 359 584,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.79792412891876,143.771816954565&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"FFM8+XV Madalya VIC, Australia",-38.515015332827524,146.46714634012784,Unit,1,3,3,"$877,447",,A beautiful property located in the heart of VIC.,Agent 472,+61 464 380 822,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.515015332827524,146.46714634012784&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"WJ9F+79 Yarck VIC, Australia",-37.08179857855967,145.6234932049444,House,5,1,1,"$1,862,018",,A beautiful property located in the heart of VIC.,Agent 462,+61 462 649 510,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.08179857855967,145.6234932049444&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"823C+3X Whroo VIC, Australia",-36.69733963333012,145.02241149170746,Unit,1,1,3,"$1,983,070",Sun 03 Nov 02:53 AM,A beautiful property located in the heart of VIC.,Agent 628,+61 434 547 417,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.69733963333012,145.02241149170746&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"J9Q8+W5 Barwang NSW, Australia",-34.360241256219396,148.36537866196264,Unit,4,2,2,"$1,210,963",Sun 03 Nov 02:53 AM,A beautiful property located in the heart of VIC.,Agent 197,+61 435 475 355,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.360241256219396,148.36537866196264&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RQ6RWH5+9W,-34.171569165610876,144.9098048451477,Apartment,5,1,1,"$1,868,425",,A beautiful property located in the heart of VIC.,Agent 599,+61 462 569 890,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.171569165610876,144.9098048451477&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RP3X89C+45,-35.032189054192095,141.3204672044994,House,3,3,2,"$750,310",,A beautiful property located in the heart of VIC.,Agent 699,+61 460 792 936,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.032189054192095,141.3204672044994&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RH47Q32+QH,-38.7455018986312,142.7514708861731,Apartment,5,2,3,"$496,043",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 642,+61 420 850 292,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.7455018986312,142.7514708861731&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"9X9H+C4 Berriwillock VIC, Australia",-35.63140567315027,142.97780361559467,House,2,3,2,"$1,033,685",,A beautiful property located in the heart of VIC.,Agent 369,+61 488 373 246,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.63140567315027,142.97780361559467&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
