Regionname,Rooms
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,3
Northern Metropolitan,3
Northern Metropolitan,3
Northern Metropolitan,4
Northern Metropolitan,4
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,3
Northern Metropolitan,2
Northern Metropolitan,4
Northern Metropolitan,2
Northern Metropolitan,3
Northern Metropolitan,2
Northern Metropolitan,1
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,1
Northern Metropolitan,2
Northern Metropolitan,3
Northern Metropolitan,2
Northern Metropolitan,4
Northern Metropolitan,1
Northern Metropolitan,2
Northern Metropolitan,1
Northern Metropolitan,2
Northern Metropolitan,3
Northern Metropolitan,3
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,3
Northern Metropolitan,3
Northern Metropolitan,2
Northern Metropolitan,4
Northern Metropolitan,3
Northern Metropolitan,3
Northern Metropolitan,3
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,1
Northern Metropolitan,1
Northern Metropolitan,4
Northern Metropolitan,1
Northern Metropolitan,3
Northern Metropolitan,1
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,4
Northern Metropolitan,3
Northern Metropolitan,3
Northern Metropolitan,3
Northern Metropolitan,1
Northern Metropolitan,2
Northern Metropolitan,3
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,2
Northern Metropolitan,4
Northern Metropolitan,3
Western Metropolitan,3
Western Metropolitan,3
Western Metropolitan,3
Western Metropolitan,3
Western Metropolitan,2
Western Metropolitan,3
Western Metropolitan,3
Western Metropolitan,2
Western Metropolitan,2
Western Metropolitan,3
Western Metropolitan,5
Western Metropolitan,4
Western Metropolitan,4
Western Metropolitan,3
Western Metropolitan,4
Western Metropolitan,6
Western Metropolitan,2
Western Metropolitan,2
Western Metropolitan,3
Western Metropolitan,2
Western Metropolitan,3
