Address,City,State,Postal Code,Price,Bedrooms,Bathrooms,Parking Spaces,Description,Latitude,Longitude,Image URL,Search Keywords
"191 George St, Scoresby VIC 3152, Australia",Victoria,VIC,3152,$1196K,1,1,1,Beautiful residential property located in the heart of Victoria.,-37.886448,145.21172,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.886448,145.21172&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '191', '3152', '1 beds', '1 baths']"
"8 Lasali St, Wyndham Vale VIC 3024, Australia",Victoria,VIC,3024,$1107K,5,3,3,Beautiful residential property located in the heart of Victoria.,-37.867457,144.622468,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.867457,144.622468&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '8', '3024', '5 beds', '3 baths']"
"182 Alexandra Parade, Clifton Hill VIC 3068, Australia",Victoria,VIC,3068,$410K,3,2,1,Beautiful residential property located in the heart of Victoria.,-37.794654,144.993422,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.794654,144.993422&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '182', '3068', '3 beds', '2 baths']"
"27 Quick St, Pascoe Vale VIC 3044, Australia",Victoria,VIC,3044,$1141K,4,2,1,Beautiful residential property located in the heart of Victoria.,-37.719359,144.930798,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.719359,144.930798&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '27', '3044', '4 beds', '2 baths']"
"351 Anderson Rd, Woodend North VIC 3442, Australia",Victoria,VIC,3442,$424K,2,1,2,Beautiful residential property located in the heart of Victoria.,-37.323937,144.549623,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.323937,144.549623&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '351', '3442', '2 beds', '1 baths']"
"35 Hatfield St, Balwyn North VIC 3104, Australia",Victoria,VIC,3104,$689K,2,2,2,Beautiful residential property located in the heart of Victoria.,-37.797514,145.066195,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.797514,145.066195&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '35', '3104', '2 beds', '2 baths']"
"12 Grieve St, Balwyn North VIC 3104, Australia",Victoria,VIC,3104,$986K,2,2,2,Beautiful residential property located in the heart of Victoria.,-37.798445,145.091332,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.798445,145.091332&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '12', '3104', '2 beds', '2 baths']"
"77 Champion Parade, Craigieburn VIC 3064, Australia",Victoria,VIC,3064,$1035K,3,1,3,Beautiful residential property located in the heart of Victoria.,-37.598885,144.89583,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.598885,144.89583&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '77', '3064', '3 beds', '1 baths']"
"5 Redgum Cl, Werribee VIC 3030, Australia",Victoria,VIC,3030,$812K,5,2,1,Beautiful residential property located in the heart of Victoria.,-37.885046,144.642365,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.885046,144.642365&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '5', '3030', '5 beds', '2 baths']"
"89 Bruces Range Rd, Springfield VIC 3434, Australia",Victoria,VIC,3434,$360K,2,3,2,Beautiful residential property located in the heart of Victoria.,-37.367137,144.819756,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.367137,144.819756&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '89', '3434', '2 beds', '3 baths']"
"67 Horsburgh Dr, Altona VIC 3018, Australia",Victoria,VIC,3018,$1111K,3,3,2,Beautiful residential property located in the heart of Victoria.,-37.841081,144.811694,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.841081,144.811694&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '67', '3018', '3 beds', '3 baths']"
"11 Prospect Ct, Ringwood VIC 3134, Australia",Victoria,VIC,3134,$793K,2,3,3,Beautiful residential property located in the heart of Victoria.,-37.807044,145.236628,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.807044,145.236628&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '11', '3134', '2 beds', '3 baths']"
"8 Wiluna Ct, Scoresby VIC 3179, Australia",Victoria,VIC,3179,$340K,2,1,2,Beautiful residential property located in the heart of Victoria.,-37.89189,145.22287,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.89189,145.22287&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '8', '3179', '2 beds', '1 baths']"
"470 Beaconsfield-Emerald Rd, Guys Hill VIC 3807, Australia",Victoria,VIC,3807,$332K,3,1,1,Beautiful residential property located in the heart of Victoria.,-38.01121,145.396235,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.01121,145.396235&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '470', '3807', '3 beds', '1 baths']"
"250 Merton St, Altona Meadows VIC 3028, Australia",Victoria,VIC,3028,$359K,4,3,2,Beautiful residential property located in the heart of Victoria.,-37.883377,144.775796,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.883377,144.775796&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '250', '3028', '4 beds', '3 baths']"
"51 Highgrove Dr, Sunbury VIC 3429, Australia",Victoria,VIC,3429,$1162K,2,2,1,Beautiful residential property located in the heart of Victoria.,-37.562812,144.754174,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.562812,144.754174&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '51', '3429', '2 beds', '2 baths']"
"42 Green Ave, Mount Macedon VIC 3441, Australia",Victoria,VIC,3441,$832K,5,3,3,Beautiful residential property located in the heart of Victoria.,-37.39589,144.577957,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.39589,144.577957&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '42', '3441', '5 beds', '3 baths']"
"31 Boyne St, Coburg North VIC 3058, Australia",Victoria,VIC,3058,$659K,5,2,1,Beautiful residential property located in the heart of Victoria.,-37.731697,144.980276,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.731697,144.980276&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '31', '3058', '5 beds', '2 baths']"
"166 Belgrave-Gembrook Rd, Menzies Creek VIC 3159, Australia",Victoria,VIC,3159,$866K,3,2,3,Beautiful residential property located in the heart of Victoria.,-37.912011,145.396573,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.912011,145.396573&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '166', '3159', '3 beds', '2 baths']"
"57 Willowbank Rd, Gisborne VIC 3437, Australia",Victoria,VIC,3437,$631K,4,2,3,Beautiful residential property located in the heart of Victoria.,-37.501827,144.603872,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.501827,144.603872&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '57', '3437', '4 beds', '2 baths']"
